prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,0,64,32,105.665
16,0,64,64,108.331
16,0,64,128,165.056
16,0,64,256,231.852
16,0,64,512,362.498
16,0,64,768,489.9
16,0,64,1024,620.992
16,0,64,1152,683.736
16,0,64,1728,933.742
16,0,64,2048,1106.86
16,0,64,2592,1438.17
16,0,64,3888,2692.2
16,0,64,4096,2872.54
16,0,64,5832,4168.74
16,0,64,8192,5817.22
16,0,64,8748,6215.94
16,0,64,13122,9310.9
16,0,64,16384,11779.1
16,0,128,16,192.171
16,0,128,32,194.56
16,0,128,64,202.838
16,0,128,128,326.614
16,0,128,256,482.668
16,0,128,512,776.366
16,0,128,768,1062.43
16,0,128,1024,1343.34
16,0,128,1152,1477
16,0,128,1728,2224.78
16,0,128,2048,3082.7
16,0,128,2592,4695.36
16,0,128,3888,8174.1
16,0,128,4096,8598.72
16,0,128,5832,12211.6
16,0,128,8192,17445.5
16,0,128,8748,18324.7
16,0,128,13122,32836.4
16,0,128,16384,42122.2
16,16,0,0,16.384
16,16,1,16,16.064
16,16,1,32,16.3413
16,16,1,64,16.2987
16,16,1,128,19.4987
16,16,1,256,24.81
16,16,1,512,34.7094
16,16,1,1024,56.4694
16,16,1,2048,101.483
16,16,1,4096,190.806
16,16,1,8192,371.308
16,16,1,16384,730.97
16,16,2,16,16.0213
16,16,2,32,16.1707
16,16,2,64,16.0853
16,16,2,128,19.648
16,16,2,256,24.7686
16,16,2,512,35.0934
16,16,2,1024,56.3854
16,16,2,2048,100.928
16,16,2,4096,190.423
16,16,2,8192,371.416
16,16,2,16384,727.62
16,16,4,16,16.236
16,16,4,32,16.1073
16,16,4,64,16.3833
16,16,4,128,19.9247
16,16,4,256,25.302
16,16,4,512,36.0106
16,16,4,1024,58.688
16,16,4,2048,103.789
16,16,4,4096,194.539
16,16,4,8192,376.322
16,16,4,16384,732.334
16,16,8,16,24.556
16,16,8,32,24.9166
16,16,8,64,25.728
16,16,8,128,33.4734
16,16,8,256,44.16
16,16,8,512,65.622
16,16,8,1024,111.019
16,16,8,2048,199.275
16,16,8,4096,378.774
16,16,8,8192,746.178
16,16,8,16384,1474.25
16,16,16,16,33.494
16,16,16,32,33.6206
16,16,16,64,34.262
16,16,16,128,47.9146
16,16,16,256,64.8326
16,16,16,512,98.1974
16,16,16,1024,165.205
16,16,16,2048,297.282
16,16,16,4096,563.052
16,16,16,8192,1126.19
16,16,16,16384,2211.42
16,16,32,16,57.9414
16,16,32,32,58.1126
16,16,32,64,59.6694
16,16,32,128,88.746
16,16,32,256,122.391
16,16,32,512,190.807
16,16,32,1024,332.098
16,16,32,2048,589.208
16,16,32,4096,1148.51
16,16,32,8192,2357.26
16,16,32,16384,4617.52
16,16,64,16,105.003
16,16,64,32,105.792
16,16,64,64,108.545
16,16,64,128,164.844
16,16,64,256,233.386
16,16,64,512,364.438
16,16,64,1024,621.122
16,16,64,2048,1107.63
16,16,64,4096,2875.04
16,16,64,8192,5816.62
16,16,64,16384,11739.4
16,16,128,16,191.873
16,16,128,32,194.645
16,16,128,64,203.286
16,16,128,128,327.168
16,16,128,256,482.028
16,16,128,512,779.478
16,16,128,1024,1345.52
16,16,128,2048,3100.86
16,16,128,4096,8598.32
16,16,128,8192,17223.7
16,16,128,16384,42775.2
16,32,0,0,16.5547
16,32,1,16,16.3407
16,32,1,32,16.342
16,32,1,64,16.4913
16,32,1,128,19.6053
16,32,1,256,24.7034
16,32,1,512,34.7306
16,32,1,1024,56.2994
16,32,1,2048,101.439
